src_ip,dst_ip,src_port,dst_port,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwe_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts
10.10.35.25,255.255.255.255,56876,10001,17,2024-03-19 12:34:28,0.0,0,0,0,0,1,0,234,0,234.0,234.0,234.0,0.0,0.0,0.0,0.0,0.0,234,234,234.0,0.0,0.0,8,0,0,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.0,234.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,234.0,0.0,0,1,0,234,0
102.132.104.61,10.10.1.53,5222,35530,6,2024-03-19 12:34:28,6648399.0,108.74798579327143,1.052885063005394,0.45123645557374037,0.6016486074316538,3,4,370,353,226.0,66.0,123.33333333333333,72.76140613142535,109.0,66.0,88.25,20.777090749188154,226,66,103.28571428571429,53.075994804523404,2817.0612244897957,60,80,0,1,1108066.5,3970846.0,1253.0,1387328.992786108,6648399.0,3981256.0,2667143.0,3324199.5,657056.5,2676300.0,1515615.0,257857.0,892100.0,513533.58483420213,0,0,0,0,1,0,0,0,0,0,0,1.3333333333333333,103.28571428571429,265,69,1494795.0,1253.0,713673.0,611668.1562437812,3960436.0,901575.0,2036453.0,1367765.2527874317,0.0,0.0,0.0,0.0,0.0,0.0,123.33333333333333,88.25,0,3,4,370,353
10.10.0.133,172.217.170.194,40414,443,6,2024-03-19 12:34:28,17191978.0,347.72031467234314,0.3489999812703344,0.23266665418022292,0.11633332709011146,4,2,5822,156,1466.0,1424.0,1455.5,18.186533479473212,78.0,78.0,78.0,0.0,1466,78,996.3333333333334,649.5294878260382,421888.55555555556,80,40,0,4,3438395.6,13218115.0,37357.0,4961693.3158209445,17154621.0,15717772.0,398806.0,5718207.0,7075574.470315043,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.5,996.3333333333334,346,370,0.0,0.0,0.0,0.0,10718458.0,398806.0,3304528.75,4298537.149783015,0.0,0.0,0.0,0.0,0.0,0.0,1455.5,78.0,0,4,2,5822,156
10.10.6.211,102.132.96.36,37352,443,6,2024-03-19 12:34:28,36562491.0,52.34873083455938,0.2735043408284189,0.13675217041420945,0.13675217041420945,5,5,365,1549,101.0,66.0,73.0,14.0,1221.0,66.0,309.8,455.8286520174001,1221,66,191.4,343.5206544008671,118006.43999999997,100,100,0,1,4062499.0,31125620.0,3.0,9713651.965193946,36562491.0,31128665.0,3.0,9140622.75,12887064.114769243,36510759.0,31132404.0,3.0,9127689.75,12892744.393019808,0,0,0,0,1,0,0,0,0,0,0,1.0,191.4,3351,517,0.0,0.0,0.0,0.0,31124645.0,48960.0,12167574.666666666,13576889.837355494,0.0,0.0,0.0,0.0,0.0,0.0,73.0,309.8,0,5,5,365,1549
10.10.53.155,255.255.255.255,53237,10001,17,2024-03-19 12:34:28,0.0,0,0,0,0,1,0,229,0,229.0,229.0,229.0,0.0,0.0,0.0,0.0,0.0,229,229,229.0,0.0,0.0,8,0,0,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.0,229.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,229.0,0.0,0,1,0,229,0
10.10.1.53,35.244.195.33,48655,443,17,2024-03-19 12:34:28,36324069.0,258.2034518214355,1.3214378598388852,0.5505991082662022,0.7708387515726831,20,28,7297,2082,1287.0,75.0,364.85,447.1501174102496,103.0,65.0,74.35714285714286,13.512465899822931,1287,65,195.39583333333334,322.3766391701466,103926.69748263889,160,224,0,20,772852.5319148937,9337725.0,2.0,1599397.2047959373,35688229.0,14060094.0,17513.0,1878327.8421052631,3334057.566353429,36296309.0,9337725.0,2.0,1344307.7407407407,2217860.176491072,0,0,0,0,1,0,0,0,0,0,0,1.4,195.39583333333334,0,0,8822964.0,9392.0,1558348.857142857,2274475.137568661,9337719.0,8662.0,1220768.0526315789,2066759.0344181387,1785.0,4.0,152.5,5.0,10399.007288043764,616.216390951923,364.85,74.35714285714286,0,20,28,7297,2082
10.10.1.53,3.251.220.169,40526,443,6,2024-03-19 12:34:29,17063683.0,354.6713801469472,1.1134759125565095,0.5860399539771103,0.5274359585793993,10,9,3657,2395,1057.0,66.0,365.7,382.82007523117176,962.0,66.0,266.1111111111111,348.09878688685313,1057,66,318.5263157894737,370.13843333784587,137002.45983379497,200,180,0,7,947982.3888888889,2859428.0,2000.0,956942.6814751201,17063683.0,4780098.0,2000.0,1895964.7777777778,1560174.9448774986,10262432.0,3807512.0,2032.0,1282804.0,1365374.2042637067,0,0,0,0,1,0,0,0,0,0,0,0.9,318.5263157894737,116,316,2417428.0,119278.0,1463440.0,785523.3532164401,2064075.0,91658.0,1114336.4444444445,659674.7977364993,0.0,0.0,0.0,0.0,0.0,0.0,365.7,266.1111111111111,0,10,9,3657,2395
34.149.219.180,10.10.0.133,443,50496,6,2024-03-19 12:34:29,34316545.0,42.545075560491306,0.1165618508506611,0.05828092542533055,0.05828092542533055,2,2,1304,156,652.0,652.0,652.0,0.0,78.0,78.0,78.0,0.0,652,78,365.0,287.0,82369.0,40,40,0,2,11438848.333333334,17835564.0,1963629.0,6835567.217640213,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1.0,365.0,261,312,0.0,0.0,0.0,0.0,15871935.0,14517352.0,15194643.5,677291.5,0.0,0.0,0.0,0.0,0.0,0.0,652.0,78.0,0,2,2,1304,156
102.132.104.61,10.10.43.229,443,51440,6,2024-03-19 12:34:29,5948076.0,205.44458409744595,1.8493375000588423,1.513094318229962,0.33624318182888047,9,2,1087,135,487.0,66.0,120.77777777777777,129.57175427604906,69.0,66.0,67.5,1.5,487,66,111.0909090909091,118.99156161483548,14158.991735537187,180,40,0,1,594807.6,2317015.0,8166.0,842353.5840344243,5948076.0,2317015.0,8166.0,743509.5,966983.0297452225,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.2222222222222222,111.0909090909091,307,631,0.0,0.0,0.0,0.0,1802870.0,18162.0,579253.75,716289.1077939044,0.0,0.0,0.0,0.0,0.0,0.0,120.77777777777777,67.5,0,9,2,1087,135
10.10.1.53,52.84.97.245,46460,443,6,2024-03-19 12:34:29,11939119.0,6022.722447108535,7.035695012337175,3.015297862430218,4.020397149906957,36,48,3012,68894,498.0,54.0,83.66666666666667,72.4024247598871,1494.0,66.0,1435.2916666666667,243.23316645533538,1494,54,856.0238095238095,695.3095401157415,483455.3565759639,720,960,0,1,143844.80722891566,1574714.0,493.0,326867.7850597861,11939119.0,2423878.0,492.99999999999994,341117.6857142857,603692.9221490377,5740268.0,2159007.0,875.0,122133.36170212766,349579.32598064485,0,0,0,0,1,0,0,0,0,0,0,1.3333333333333333,856.0238095238095,1971,135,1570075.0,6709.0,274971.85185185185,430529.47080023866,1574714.0,6505.0,260183.38709677418,376438.4906537276,0.0,0.0,32863.0,23.5,0.0,25241.397797224698,83.66666666666667,1435.2916666666667,0,36,48,3012,68894
